catch_terms,recode_column,skill_name,category,broad_category
forklift|lift trucks,forklift|lift trucks,Forklift operation,Manual Labor,Technical
hvac|ventilation,hvac|ventilation,HVAC expertise,Manual Labor,Technical
adobe illustrator|illustrator,adobe illustrator|(?<! adobe)illustrator,Adobe Illustrator,Adobe Products,Technical
adobe acrobat,adobe acrobat,Adobe Acrobat,Adobe Products,Technical
adobe creative cloud,adobe creative cloud,Adobe Creative Cloud,Adobe Products,Technical
microsoft suite,microsoft suite,Microsoft Suite,Microsoft Suite,Technical
powerpoint,powerpoint,Microsoft PowerPoint,Microsoft Suite,Technical
microsoft word,microsoft word,Microsoft Word,Microsoft Suite,Technical
microsoft excel,microsoft excel,Microsoft Excel,Microsoft Suite,Technical
microsoft onenote|onenote,microsoft onenote|(?<!microsoft )onenote,Microsoft OneNote,Microsoft Suite,Technical
microsoft teams,microsoft teams,Microsoft Teams,Microsoft Suite,Technical
cardiopulmonary resuscitation|cpr,cardiopulmonary resuscitation|cpr,Cardiopulmonary resuscitation,Medical,Technical
comp tia|comptia,comp tia|comptia,CompTIA,Computing Skills,Technical
comp tia a+|comptia a+,comp tia a+|comptia a+,CompTIA A+,Computing Skills,Technical
sql|sql server|postgresql|oracle pl/sql|oracle pl sql|nosql|no sql|mysql|microsoft sql|transact sql|transact-sql|sql injection|sqlite|sqp plus,sql(?! [server|injection])|sql server|postgresql|oracle pl/sql|oracle pl sql|nosql|no sql|mysql|microsoft sql|transact sql|transact-sql|sql injection|sqlite|sqp plus,Database Skills,Database Skills,Technical
cloud computing,cloud computing,Cloud Computing,Computing Skills,Technical
python,python,Python Skills,Computing Skills,Technical
machine learning|supervised learning,machine learning|supervised learning,Machine Learning,Computing Skills,Technical
