skill,num,meansal,cumul,id
Repair,17722,40875.53139432399,4.650674560374531,specialized
Scheduling,8260,47684.90908134642,6.818295137549434,specialized
Teamwork / Collaboration,6273,52465.58788927336,8.464479626728389,specialized
Customer Service,6102,45952.181929637525,10.065789646331446,specialized
Plumbing,5398,37140.29576988156,11.482353311657128,specialized
HVAC,4727,39402.79301634472,12.722830608062184,specialized
Cleaning,4457,30837.81066758431,13.892453478821087,specialized
Predictive / Preventative Maintenance,4387,39861.60623481782,15.04370668367173,specialized
Hand Tools,4286,36410.31933823529,16.168455084854735,specialized
Procurement,4174,71471.84232773595,17.263812020584524,specialized
Forklift Operation,4149,32551.980405878236,18.352608361347073,specialized
Machinery,4125,38782.883543165466,19.435106530941077,specialized
Lifting Ability,3349,33393.98736492103,20.313963832752066,specialized
Purchasing,3210,69299.4528021607,21.156344226545215,specialized
Power Tools,3207,35662.70414285714,21.9979373489423,specialized
Quality Assurance and Control,3167,43281.85878787879,22.829033519391807,specialized
Carpentry,3102,36797.27469387755,23.6430721429265,specialized
Painting,3073,33932.70797101449,24.449500476299196,specialized
Occupational Health and Safety,3052,42919.82536231884,25.25041790989941,specialized
Welding,3043,47209.64428412874,26.048973529311425,specialized
Budgeting,2840,55289.588331627434,26.79425711758948,specialized
Customer Contact,2492,62723.51923601637,27.448217223923603,specialized
Project Management,2465,64557.898396501456,28.095091887693112,specialized
Schematic Diagrams,2382,46149.87417763158,28.720185376171393,specialized
Contract Management,2180,78992.69858870968,29.29226925731441,specialized
Contract Preparation,2167,77026.74961915125,29.860941629074457,specialized
Sales,2116,41627.8921641791,30.416230387101347,specialized
Contract Administration,1972,69661.62697986577,30.93373011811695,specialized
Test Equipment,1922,47951.91953578337,31.438108659198086,specialized
Packaging,1843,33025.89931271478,31.92175572018275,specialized
Wiring,1833,42352.49675572519,32.402778543180524,specialized
Contract Review,1798,70555.56522388059,32.87461653322416,specialized
Staff Management,1756,53688.01327868852,33.335432723722846,specialized
Inventory Management,1657,40647.588308977036,33.77026895815128,specialized
Equipment Operation,1636,34931.0032150776,34.19959429280723,specialized
Data Entry,1598,36934.45025466893,34.61894752311298,specialized
Technical Support,1537,52223.13164179104,35.02229290169867,specialized
Personal Protective Equipment (PPE),1508,41814.41217798595,35.41802799012237,specialized
Basic Mathematics,1476,31659.545621181263,35.805365516988005,specialized
Procurement Contracts,1466,73397.27623188405,36.19007880586675,specialized
Inventory Control,1371,37239.35064267352,36.54986183386999,specialized
Defense Federal Acquisition Regulations,1370,91356.75809935205,36.909382438074545,specialized
Snow Removal,1356,37494.9593038822,37.26522910909745,specialized
Supervisory Skills,1307,46973.036020151136,37.608217013984564,specialized
Electrical Systems,1298,44114.42991202346,37.948843104683476,specialized
Industrial Operations Industry Knowledge,1280,76055.05927536232,38.28474556700598,specialized
Multilingual,1274,38409.57502329916,38.619073486536344,specialized
Logistics,1214,59155.39513742072,38.937655978145344,specialized
Inventory Maintenance,1208,36310.63431372549,39.25466392696221,specialized
Property Management,1202,40562.89213483146,39.57009733298693,specialized
Technical Writing / Editing,1146,52713.51134751773,39.87083500628505,specialized
Facility Maintenance,1143,39746.849544072946,40.1707854081871,specialized
Machining,1117,41745.614,40.46391279132322,specialized
Equipment Repair,1112,37805.31072210066,40.755728055465894,specialized
Spreadsheets,1104,50348.27480106101,41.045443929219054,specialized
Calculation,1102,47584.77124600639,41.33463495537483,specialized
Calibration,1101,44533.37611940299,41.62356355773192,specialized
Economics,1096,89886.85710455764,41.91118004109557,specialized
Retail Industry Knowledge,1096,34647.969953051645,42.19879652445921,specialized
AutoCAD,1088,53622.93454545455,42.48431361743334,specialized
Technical Training,1074,47657.13183856502,42.76615677722581,specialized
Quality Management,1068,53332.70314685315,43.046425394226155,specialized
Record Keeping,1068,42111.30614035088,43.32669401122649,specialized
Request for Proposal (RFP),1062,70988.34985994398,43.60538808543469,specialized
Business Administration,1060,83679.06387665198,43.88355731204552,specialized
Machine Operation,1047,27185.230131004366,44.158315029273375,specialized
Soldering,1001,38970.56676300578,44.42100125176152,specialized
Drywall,997,33690.7503164557,44.68263777905491,specialized
Sorting,976,33308.12671755725,44.938763406575816,specialized
Appliance Repair,875,38106.985507246376,45.16838423042909,specialized
SAP,864,70057.32268518518,45.39511839249678,specialized
Grinders,861,40619.526511627904,45.6210652831684,specialized
Equipment Maintenance,857,40657.28571428572,45.84596247864526,specialized
Process Improvement,824,61303.23043478261,46.062199688765375,specialized
Industrial Engineering Industry Expertise,803,49151.360185185185,46.272925999113006,specialized
Merchandising,800,31513.461146496815,46.482865038064574,specialized
Food Safety,793,28743.125925925928,46.69096711042531,specialized
Microsoft Project,791,68606.32486486486,46.89854433518867,specialized
Performance Analysis,777,64032.35046082949,47.10244762677038,specialized
Contract Negotiation,768,73787.33308270677,47.303989104163875,specialized
Heavy Lifting,756,31237.41447028424,47.502381495973104,specialized
Apartment Maintenance,752,34365.40986547085,47.699724192587574,specialized
Negotiation Skills,749,74295.07819548872,47.89627961780598,specialized
Ventilation,747,45035.019850187266,48.092310195427004,specialized
Hand Trucks,746,30546.233191489362,48.28807834924934,specialized
Manual Dexterity,735,36805.43145539906,48.48095984128609,specialized
Telecommunications,733,52034.65862068965,48.67331648572546,specialized
Safety Training,719,40895.89937106918,48.86199919698318,specialized
Materials Transport,714,31919.306995884774,49.04936978924745,specialized
Microsoft Sharepoint,714,70880.89944134078,49.236740381511716,specialized
Performance Appraisals,702,61427.488387096775,49.42096188819172,specialized
Commercial Driving,694,40571.279868708974,49.6030840044822,specialized
Customer Billing,694,49891.20580912863,49.78520612077268,specialized
Technical Assistance,688,57022.774675324676,49.96575369427103,specialized
Appointment Setting,686,57304.003621730386,50.14577642017199,specialized
Boilers,673,50419.20717948718,50.322387636689996,specialized
Information Systems,673,76125.44114583333,50.498998853208,specialized
Enterprise Resource Planning (ERP),670,48012.715,50.674822798329934,specialized
Electronics Industry Knowledge,667,48837.583823529414,50.849859472055805,specialized
Electrical Work,664,44888.010970464136,51.0241088743856,specialized
Product Knowledge,647,29594.18918918919,51.19389707213768,specialized
